Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute
1990s,1991,Lithium,Nirvana,"grunge, rock",74,4.28,False,0.225,0.597,352,19.32,82.16
2000s,2000,Oops!...I Did It Again,Britney Spears,pop,83,3.52,False,0.128,0.478,386,26.68,109.68
2000s,2002,Dilemma,Nelly,,82,4.82,True,0.062,0.625,923,18.96,191.52
2000s,2005,Hung Up,Madonna,,79,5.63,False,-0.274,0.506,541,14.42,96.11
2000s,2004,Since U Been Gone,Kelly Clarkson,christmas,75,3.15,False,0.157,0.37,293,28.33,93.04
2000s,2005,We Belong Together,Mariah Carey,christmas,78,3.36,False,0.01,0.306,529,31.0,157.6
2000s,2001,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Christina Aguilera,,67,4.41,False,0.0,0.0,0,0.0,0.0
2000s,2005,La Tortura (feat. Alejandro Sanz),Shakira,latin pop,81,3.6,False,0.245,0.53,433,32.1,120.15
2000s,2000,Stronger,Britney Spears,pop,68,3.38,False,0.038,0.623,257,31.13,75.96
2000s,2009,Meet Me Halfway,Black Eyed Peas,,81,4.74,False,-0.061,0.529,512,21.29,108.03
2000s,2002,Sk8er Boi,Avril Lavigne,,79,3.4,False,0.143,0.465,406,36.21,119.41
2000s,2004,La Camisa Negra,Juanes,"latin pop, colombian pop, rock en español",57,3.61,False,0.0,0.0,347,33.43,96.07
2000s,2010,Sexy Bitch (feat. Akon),David Guetta,edm,81,3.26,True,0.0,0.0,234,27.35,71.69
